Product name,Unit Cost,SubCategory ID,Brand,Product ID
"KS Urge Buy 1 Get 1 Deodorant Spray  -  For Men300 ml, Pack of 2",152,Subcat16,Kamasutra,FUR-BAR-10003465
Kamasutra KS Spark Deo 150 ml Deodorant Spray  -  For M...150 ml,187,Subcat16,Kamasutra,OFF-SAN-10002323
"Wild Stone Intense Black No Gas Deo Deodorant Spray  - ...300 ml, Pack of 2",300,Subcat16,Wild Stone,FUR-CH-10000110
"Wild Stone Intense Black, Wood and Ocean No Gas Deodora...360 ml, Pack of 3",473,Subcat16,Wild Stone,OFF-XER-10002256
"DENVER Hamilton and Imperial Combo Deodorant Spray  -  ...400 ml, Pack of 2",344,Subcat16,DENVER,OFF-ELD-10003038
Wild Stone Hydra Energy Body Spray  -  For Men150 ml,139,Subcat16,Wild Stone,OFF-STA-10001636
"ANJU PHARMACEUTICALS Zalim x Malam (14 gm * 6 pc) Antiseptic Ointment  (0.084 kg, Pack of 6)",130,Subcat17,ANJU ,OFF-PA-10004600
Himalaya Herbals Pilex Cream ( Pack of 1 ) Antiseptic Ointment  (30 g),128,Subcat17,Himalaya,OFF-ACC-10000102
LYCIMOND Hydro-Gel based Ointment Antiseptic Ointment  (50 g),200,Subcat17,Lycimond,TEC-MA-10001831
VEDIVA Knee & Muscle Pain Pack Of 2 Balm,1690,Subcat18,VEDIVA,OFF-SU-10000866
VEDIVA Ortho ayu Muscle pain Balm,1690,Subcat18,VEDIVA,OFF-SU-10004119
DEEMARK Ortho Pain Relief Balm,159,Subcat18,DEEMARK,TEC-AC-10004406
DEEMARK Ortho Balm & Ortho Oil ( 50grm + 100mL) - Joint...,300,Subcat18,DEEMARK,FUR-BUS-10004121
Tiger Balm IMPORTED WHITE OINTMENT BALM Balm,290,Subcat18,Tiger,OFF-FA-10003007
DEEMARK Ortho Pain Relief Balm,480,Subcat18,DEEMARK,OFF-ELI-10000044
